"Anthony Hopkins, Ryan Gosling, David Strathairn,Rosamund Pike"
"Karen Gillan, Brenton Thwaites, Katee Sackhoff,Rory Cochrane"
"Colin Farrell, Brendan Gleeson, Ciaríçn Hinds,Elizabeth Berrington"
"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger"
"Tatiana Pauhofovíç, Karl Markovics, Gedeon Burkhard,Simona Stasovíç"
"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,Robert Duvall"
"Abbie Cornish, Dermot Mulroney, Justin Long,Diego Klattenhoff"
"Larenz Tate, Meagan Good, Rotimi, Rick Gonzalez"
"Jason Momoa, Ron Perlman, Rose McGowan,Stephen Lang"
"Mark Wahlberg, Christian Bale, Amy Adams,Melissa Leo"
"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard"
"Jon Favreau, Robert Downey Jr., Scarlett Johansson,Dustin Hoffman"
"Helen Mirren, Aaron Paul, Alan Rickman, Barkhad Abdi"
"Shia LaBeouf, Michelle Monaghan, Rosario Dawson,Michael Chiklis"
"Ethan Hawke, Lena Headey, Max Burkholder,Adelaide Kane"
"Aamir Khan, Anushka Sharma, Sanjay Dutt,Boman Irani"
"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin"
"Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen"
"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith"
"Tom Hiddleston, Jeremy Irons, Sienna Miller, Luke Evans"
"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench"
"Sigourney Weaver, Michelle Rodriguez, Tony Shalhoub,Anthony LaPaglia"
"Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson"
"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban"
"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn"
"Owen Wilson, Larry the Cable Guy,Michael Caine, Emily Mortimer"
"Malcolm McDowell, Richard Brake, Jeff Daniel Phillips,Sheri Moon Zombie"
"Abigail Breslin, Wes Bentley, Logan Huffman,Alexander Ludwig"
"Maddy Curley, John DeLuca, Nikki SooHoo, Drew Seeley"
"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi"
"Liam Neeson, Diane Kruger, January Jones,Aidan Quinn"
"Ryan Reynolds, Natalie Martinez, Matthew Goode,Ben Kingsley"
"Kevin Costner, Demi Moore, William Hurt, Dane Cook"
"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia"
"Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum"
"Tom Hanks, Barkhad Abdi, Barkhad Abdirahman,Catherine Keener"
"Rooney Mara, Eric Bana, Theo James, Aidan Turner"
"Ben Winchell, Josh Brener, Maria Bello, Andy Garcia"
"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James"
"Will Smith, Charlize Theron, Jason Bateman, Jae Head"
"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz"
"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo"
"Seth Rogen, Elizabeth Banks, Craig Robinson, Gerry Bednob"
"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud,Michel Vuillermoz"
"Sam Worthington, Elizabeth Banks, Jamie Bell, Mandy Gonzalez"
"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes"
"Christian Bale, Steve Zahn, Jeremy Davies, Zach Grenier"
"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove"
"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook"
"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike"
"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp,Adam Brody"
"Colin Farrell, Woody Harrelson, Sam Rockwell,Christopher Walken"
"Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright"
"Chris Pine, Kevin Costner, Keira Knightley,Kenneth Branagh"
"John Cusack, Samuel L. Jackson, Mary McCormack, Paul Birchard"
"Mark Wahlberg, Jessica Lange, John Goodman, Brie Larson"
"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina"
"Miles Teller, Shailene Woodley, Kyle Chandler,Jennifer Jason Leigh"
"David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport"
"Nicolas Cage, Tom Sizemore, Thomas Jane,Matt Lanter"
"Munro Chambers, Laurence Leboeuf, Michael Ironside, Edwin Wright"
"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Ní©lisse"
"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder"
"Woody Allen, Pení©lope Cruz, Jesse Eisenberg, Ellen Page"
"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman"
"Denzel Washington, Clive Owen, Jodie Foster,Christopher Plummer"
"Pierce Brosnan, Jason Barry, Karen Moskow, Kai Ryssdal"
"James Franco, Amber Tamblyn, Kate Mara, Sean Bott"
"Ward Horton, Annabelle Wallis, Alfre Woodard,Tony Amendola"
"Katie Cassidy, Elizabeth Henstridge, Adam Campbell, Miles Fisher"
"Michelle Williams, Kristin Scott Thomas, Margot Robbie,Eric Godon"
"Christopher Plummer, Lily Cole, Heath Ledger,Andrew Garfield"
"Dennis Quaid, Channing Tatum, Marlon Wayans,Adewale Akinnuoye-Agbaje"
"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia"
"Shia LaBeouf, Jai Courtney, Gary Oldman, Kate Mara"
"Michael Vartan, Erin Moriarty, Nadine Velazquez,Ronnie Gene Blevins"
"Naomi Watts, Charlie Heaton, Jacob Tremblay,Oliver Platt"
"Mark Chao, Ni Ni, Dave Bautista, Sienna Guillory"
"Kurt Russell, Rose McGowan, Danny Trejo, Zoí‚ Bell"
"Carmen Electra, Vanessa Lachey,Nicole Parker, Matt Lanter"
"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia, Burt Young"
"Zachary Gordon, Robert Capron, Devon Bostick,Steve Zahn"
"Mia Wasikowska, Michael Fassbender, Jamie Bell, Su Elliot"
"Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena"
"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley"
"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet"
"Adrian Titieni, Maria-Victoria Dragus, Lia Bugnar,Malina Manovici"
"Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson"
"Ana de Armas, Keanu Reeves, Christopher McDonald, Mira Sorvino"
"Ethan Hawke, Sally Hawkins, Kari Matchett, Zachary Bennett"
"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston"
"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson"
"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsgí«rd"
"Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos"
"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee"
"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman"
"Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez"
"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks,Donald Sutherland"
"Sophie Ní©lisse, Josh Wiggins, Joe Cobden, Bill Paxton"
"Chadwick Boseman, T.R. Knight, Harrison Ford,Nicole Beharie"
"Jim Sturgess, Kate Bosworth, Kevin Spacey, Aaron Yoo"
"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld"
"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson"
"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch"
"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman"
"Ice Cube, Regina Hall, Anthony Anderson, Eve"
"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood"
"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn"
"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin"
"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith"
"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisí©s Acevedo"
"Miyu Irino, Saori Hayami, Aoi Yuki, KenshíÇ Ono"
"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette"
"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott"
"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul"
"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson"
"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman"
"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby"
"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris"
"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman"
"Rolf Lassgí«rd, Bahar Pars, Filip Berg, Ida Engvoll"
"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum"
"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck"
"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison"
"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett"
"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau"
"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton"
"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins"
"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee"
"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes"
"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren íîsugi"
"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell"
"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy"
"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher"
"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence"
"Brad Pitt, Cate Blanchett, Gael Garcí_a Bernal, Mohamed Akhzam"
"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken"
"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart"
"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames"
"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard"
"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha"
"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow"
"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie"
"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis"
"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish"
"Rose McGowan, Freddy Rodrí_guez, Josh Brolin,Marley Shelton"
"Will Smith, Alec Baldwin, Albert Brooks, David Morse"
"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek"
"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter"
"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg"
"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva"
"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard"
"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver"
"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson"
"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish"
"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez"
"Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey"
"George Clooney, Brad Pitt, Matt Damon,Michael Mantell"
"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson"
"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly"
"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban"
"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick"
"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen"
"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione"
"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun"
"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme"
"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin"
"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol"
"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker"
"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski"
"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont"
"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon"
"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak"
"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden"
"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham"
"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey"
"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta"
"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard"
"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons"
"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell"
"Chloí‚ Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard"
"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishí©"
"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer"
"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys"
"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole"
"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura"
"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon"
"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton"
"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman"
"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields"
"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel"
"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord"
"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner"
"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollíæ"
"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman"
"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda"
"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley"
"Jaden Smith, David Denman, Will Smith,Sophie Okonedo"
"Jahking Guillory, Christopher Jordan Wallace,Christopher Meyer, Kofi Siriboe"
"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
"George Clooney, Shailene Woodley, Amara Miller, Nick Krause"
"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon"
"Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman"
"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane"
"Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots"
"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black"
"Jake Gyllenhaal, Michael Peí±a, Anna Kendrick, America Ferrera"
"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard"
"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu"
"James McAvoy, Rosario Dawson, Vincent Cassel,Danny Sapani"
"Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie"
"Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess"
"Sarah Butler, Jeff Branson, Andrew Howard,Daniel Franzese"
"Viola Davis, Hayden Panettiere, Catalina Sandino Moreno, Ellen Burstyn"
"Laura Dern, Jeremy Irons, Justin Theroux, Karolina Gruszka"
"Lambert Wilson, Pierre Niney, Audrey Tautou,Laurent Lucas"
"Joseph Gordon-Levitt, Charlotte Le Bon,Guillaume Baillargeon, íŠmilie Leclerc"
"Anna Hutchison, Andrea Whitburn, Jennifer Koenig,Michael Dickson"
"Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson"
"Alexandra Daddario, Tania Raymonde, Scott Eastwood, Trey Songz"
"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer"
"Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin"
"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale"
"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza"
"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan"
"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloí‚ Grace Moretz"
"Jason Biggs, Janet Montgomery,Ashley Tisdale, Bria L. Murphy"
"Nathalie Baye, Vincent Cassel, Marion Cotillard, Lí©a Seydoux"
"Antonio Banderas, Elena Anaya, Jan Cornet,Marisa Paredes"
"Jennifer Garner, Kylie Rogers, Martin Henderson,Brighton Sharbino"
"Quvenzhaní© Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne"
"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs"
"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev"
"Thomas Haden Church, Josh Wiggins, Luke Kleintank,Lauren Graham"
"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker"
"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher"
"Gabriella Wilde, Alex Pettyfer, Bruce Greenwood,Robert Patrick"
"Morjana Alaoui, MylíÂne Jampanoí¿, Catherine Bí©gin,Robert Toupin"
"David Oyelowo, Carmen Ejogo, Tim Roth, Lorraine Toussaint"
"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh"
"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer"
"Milla Jovovich, Ali Larter, Wentworth Miller,Kim Coates"
"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame"
"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris"
"Lauren German, Heather Matarazzo, Bijou Phillips, Roger Bart"
"Robert Hoffman, Briana Evigan, Cassie Ventura, Adam G. Sevani"
"Adam Pally, T.J. Miller, Thomas Middleditch,Shannon Woodward"
"Kevin Spacey, Jennifer Garner, Robbie Amell,Cheryl Hines"
